#Coverage	Number of genomic locations
1267.0	40.0
1268.0	13.0
1269.0	60.0
1270.0	2.0
1271.0	4.0
1272.0	6.0
1273.0	23.0
1274.0	5.0
1276.0	17.0
1277.0	5.0
1278.0	25.0
1279.0	18.0
1280.0	9.0
1281.0	13.0
1282.0	16.0
1283.0	8.0
1284.0	17.0
1285.0	21.0
1286.0	16.0
1287.0	15.0
1288.0	11.0
1289.0	5.0
1290.0	32.0
1291.0	9.0
1292.0	41.0
1293.0	111.0
1294.0	91.0
1295.0	49.0
1296.0	34.0
1297.0	10.0
1298.0	10.0
1299.0	34.0
1300.0	6.0
1301.0	22.0
1302.0	23.0
1303.0	53.0
1304.0	51.0
1305.0	165.0
1306.0	74.0
1307.0	37.0
1308.0	43.0
1309.0	26.0
1310.0	68.0
1311.0	19.0
1312.0	51.0
1313.0	45.0
1314.0	13.0
1315.0	12.0
1316.0	9.0
1317.0	7.0
1318.0	7.0
1319.0	14.0
1320.0	6.0
1321.0	33.0
1322.0	35.0
1323.0	13.0
1324.0	13.0
1325.0	47.0
1326.0	26.0
1327.0	8.0
1328.0	16.0
1329.0	17.0
1330.0	17.0
1331.0	14.0
1332.0	29.0
1333.0	57.0
1334.0	43.0
1335.0	53.0
1336.0	14.0
1337.0	15.0
1338.0	10.0
1339.0	23.0
1340.0	23.0
1341.0	41.0
1342.0	100.0
1343.0	18.0
1344.0	34.0
1345.0	6.0
1346.0	14.0
1347.0	21.0
1348.0	83.0
1349.0	132.0
1350.0	37.0
1351.0	61.0
1352.0	80.0
1353.0	29.0
1354.0	10.0
1355.0	55.0
1356.0	61.0
1357.0	35.0
1358.0	58.0
1359.0	23.0
1360.0	88.0
1361.0	29.0
1363.0	5.0
1364.0	5.0
1365.0	2.0
1366.0	7.0
1367.0	14.0
1368.0	18.0
1369.0	15.0
1370.0	5.0
1371.0	7.0
1372.0	23.0
1373.0	85.0
1374.0	12.0
1375.0	4.0
1376.0	20.0
1377.0	7.0
1378.0	4.0
1379.0	10.0
1380.0	35.0
1381.0	20.0
1382.0	49.0
1383.0	74.0
1384.0	62.0
1385.0	10.0
1386.0	45.0
1387.0	102.0
1388.0	80.0
1389.0	29.0
1390.0	40.0
1391.0	38.0
1392.0	31.0
1393.0	10.0
1394.0	23.0
1395.0	29.0
1396.0	53.0
1397.0	58.0
1398.0	93.0
1399.0	71.0
1400.0	47.0
1401.0	20.0
1402.0	8.0
1403.0	5.0
1404.0	13.0
1405.0	15.0
1406.0	11.0
1407.0	21.0
1408.0	22.0
1409.0	101.0
1410.0	72.0
1411.0	11.0
1412.0	34.0
1413.0	25.0
1414.0	58.0
1415.0	27.0
1416.0	31.0
1417.0	32.0
1418.0	69.0
1419.0	55.0
1420.0	76.0
1421.0	100.0
1422.0	59.0
1423.0	102.0
1424.0	67.0
1425.0	50.0
1426.0	87.0
1427.0	98.0
1428.0	52.0
1429.0	7.0
1430.0	7.0
1431.0	4.0
1432.0	16.0
1433.0	7.0
1434.0	20.0
1435.0	37.0
1436.0	31.0
1437.0	158.0
1438.0	37.0
1439.0	130.0
1440.0	3.0
1441.0	10.0
1442.0	19.0
1443.0	12.0
1444.0	8.0
1445.0	22.0
1446.0	15.0
1447.0	25.0
1448.0	8.0
1449.0	22.0
1450.0	10.0
1451.0	31.0
1452.0	57.0
1453.0	94.0
1454.0	63.0
1455.0	55.0
1456.0	70.0
1457.0	49.0
1458.0	104.0
1459.0	107.0
1460.0	63.0
1461.0	7.0
1462.0	30.0
1463.0	44.0
1464.0	30.0
1465.0	28.0
1466.0	7.0
1467.0	18.0
1468.0	6.0
1469.0	44.0
1470.0	29.0
1471.0	65.0
1472.0	40.0
1473.0	9.0
1474.0	3.0
1475.0	9.0
1476.0	18.0
1477.0	23.0
1478.0	69.0
1479.0	58.0
1480.0	99.0
1481.0	70.0
1482.0	69.0
1483.0	109.0
1484.0	42.0
1485.0	69.0
1486.0	7.0
1487.0	163.0
1488.0	33.0
1489.0	1.0
1490.0	5.0
1491.0	21.0
1492.0	68.0
1493.0	34.0
1494.0	10.0
1495.0	24.0
1496.0	9.0
1497.0	22.0
1498.0	6.0
1499.0	10.0
1500.0	17.0
1501.0	16.0
1502.0	21.0
1503.0	52.0
1504.0	58.0
1505.0	13.0
1506.0	4.0
1507.0	12.0
1508.0	21.0
1509.0	25.0
1510.0	49.0
1511.0	36.0
1512.0	18.0
1513.0	39.0
1514.0	138.0
1515.0	70.0
1516.0	22.0
1517.0	2.0
1518.0	6.0
1519.0	6.0
1520.0	13.0
1521.0	7.0
1522.0	6.0
1523.0	14.0
1524.0	26.0
1525.0	32.0
1526.0	22.0
1527.0	7.0
1528.0	26.0
1529.0	39.0
1530.0	27.0
1531.0	33.0
1532.0	47.0
1533.0	30.0
1534.0	21.0
1535.0	6.0
1537.0	5.0
1538.0	2.0
1539.0	1.0
1540.0	7.0
1541.0	3.0
1542.0	15.0
1543.0	4.0
1544.0	5.0
1545.0	12.0
1546.0	8.0
1547.0	12.0
1548.0	21.0
1549.0	65.0
1550.0	41.0
1551.0	25.0
1552.0	60.0
1553.0	79.0
1554.0	72.0
1555.0	5.0
1556.0	29.0
1557.0	19.0
1558.0	27.0
1559.0	43.0
1560.0	26.0
1561.0	12.0
1562.0	26.0
1563.0	118.0
1564.0	122.0
1565.0	42.0
1566.0	49.0
1567.0	20.0
1568.0	19.0
1569.0	14.0
1570.0	17.0
1571.0	13.0
1572.0	14.0
1573.0	31.0
1574.0	45.0
1575.0	61.0
1576.0	88.0
1577.0	24.0
1578.0	13.0
1579.0	29.0
1580.0	4.0
1581.0	2.0
1582.0	2.0
1583.0	2.0
1584.0	1.0
1585.0	18.0
1586.0	21.0
1587.0	24.0
1588.0	14.0
1589.0	5.0
1590.0	3.0
1591.0	26.0
1592.0	56.0
1593.0	91.0
1594.0	95.0
1595.0	31.0
1596.0	13.0
1597.0	18.0
1598.0	11.0
1599.0	10.0
1600.0	1.0
1602.0	2.0
1604.0	1.0
1605.0	3.0
1606.0	13.0
1607.0	35.0
1608.0	58.0
1609.0	10.0
1610.0	11.0
1611.0	42.0
1612.0	96.0
1613.0	24.0
1614.0	47.0
1615.0	63.0
1616.0	7.0
1617.0	3.0
1618.0	16.0
1619.0	16.0
1620.0	21.0
1621.0	11.0
1622.0	35.0
1623.0	62.0
1624.0	19.0
1625.0	36.0
1626.0	9.0
1627.0	75.0
1628.0	7.0
1629.0	1.0
1630.0	14.0
1631.0	28.0
1632.0	2.0
1633.0	1.0
1634.0	1.0
1635.0	2.0
1639.0	3.0
1640.0	2.0
1641.0	4.0
1642.0	1.0
1643.0	9.0
1644.0	2.0
1645.0	8.0
1646.0	22.0
1647.0	2.0
1648.0	3.0
1649.0	6.0
1650.0	4.0
1651.0	7.0
1652.0	5.0
1653.0	2.0
1654.0	11.0
1655.0	14.0
1656.0	40.0
1657.0	8.0
1658.0	10.0
1659.0	9.0
1660.0	3.0
1661.0	47.0
1662.0	4.0
1663.0	8.0
1664.0	11.0
1665.0	17.0
1666.0	10.0
1667.0	11.0
1668.0	10.0
1669.0	24.0
